Machine_Weight_kg,Machine_Age_years,Maintenance_Score,Rental_Price_per_Hour
137,10,1,245.3840194575167
108,12,1,235.7262355441484
149,8,0,272.6095561542029
157,16,1,236.4167287948176
98,19,1,130.84516659988222
63,16,0,83.85675516743807
160,17,0,261.1054197569652
179,14,0,289.8264584487717
104,13,1,177.57415648719143
70,8,1,166.01259118394142
139,16,1,255.27833114165867
64,18,1,106.17873512216563
138,19,1,243.63740530766387
102,17,1,182.8093063964504
113,18,0,185.3562194919904
51,14,1,141.45115614486787
64,8,0,166.94742865998822
137,16,1,272.4666354248386
67,9,1,154.01240858361288
152,6,0,300.5591945868868
142,5,1,357.9262947150616
153,10,0,292.5061002676699
138,14,0,297.58728523363106
100,9,1,164.19912664647512
124,10,0,274.72374816722
184,17,1,330.5861986835579
152,18,0,269.33032114820475
180,12,0,333.4490233504473
109,13,0,175.3177837671611
102,6,0,231.5055627720008
166,14,0,289.41815201463663
58,16,0,69.10805789535755
71,18,1,111.08400330312736
84,13,1,126.78226614740852
121,12,0,257.8523536559453
141,19,1,269.1805043775651
107,8,0,238.301716516016
70,18,1,115.16877321248708
180,17,0,334.8092721463193
57,5,1,144.5719765509436
181,12,0,346.80328561172166
70,6,1,194.3351548728992
122,19,0,229.65793708549305
199,19,1,394.270122393718
156,6,0,282.446535552823
100,11,1,164.45395530533162
133,17,1,220.7811912566124
87,6,1,154.9301277459512
179,13,1,366.5615983038938
171,18,0,269.5078588558942
